K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_25_606.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_25_606.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_25_606.jpg, 0, 0, 0, 7.663028E-05
K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_25_711.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_25_711.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_25_711.jpg, 0, 0, 0, 8.662929E-05
K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_25_817.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_25_817.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_25_817.jpg, 0, 0, 0, 7.907244E-05
K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_25_927.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_25_927.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_25_927.jpg, 0, 0, 0, 7.695649E-05
K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_26_028.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_26_028.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_26_028.jpg, 0, 0, 0, 7.831481E-05
K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_26_131.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_26_131.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_26_131.jpg, 0, 0, 0, 7.739807E-05
K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_26_231.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_26_231.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_26_231.jpg, 0, 0.1464123, 0, 0.04914676
K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_26_334.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_26_334.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_26_334.jpg, 0, 0.4396926, 0, 0.4300601
K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_26_435.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_26_435.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_26_435.jpg, 0, 0.7393379, 0, 1.134284
K:\Games\simulator-windows-64\IMG\center_2019_09_17_20_43_26_538.jpg, K:\Games\simulator-windows-64\IMG\left_2019_09_17_20_43_26_538.jpg, K:\Games\simulator-windows-64\IMG\right_2019_09_17_20_43_26_538.jpg, 0, 1, 0, 2.266727
